Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0624748888008409,-0.0742087794162512,0.117517848159746,0,0,0,1.14811400732491,0.00298446733707097,4.35990528875793E-07,4.48390537918352E-12,0.00287048318136048,4.73526736450927E-06,0.00496440912889876,0,0,0,0,0,0,package://result/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://result/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.00323377908471101,0.0380081329617827,-0.00543198103938179,0,0,0,0.383994070666985,0.000766709395631655,3.52786382637644E-05,-3.49454896375999E-05,0.00120377097724528,6.39959529047228E-05,0.000731394431356107,0,0,0,0,0,0,package://result/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://result/meshes/link1.STL,,Link1-1,Origin_joint1,Axis_joint1,joint1,continuous,0.0628669021218676,-0.0754891404811936,0.176154139635022,1.5707963267949,0,-0.516759347800869,base_link,0,1,0,,,,,,,,,,,,
link2,-0.0510840052702813,0.0883357925369542,-0.034347404936876,0,0,0,0.175568894062406,0.000694619682894917,0.000166145271947114,3.78630598330372E-05,0.00011736525490352,-9.44179338350897E-05,0.000739730440689675,0,0,0,0,0,0,package://result/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://result/meshes/link2.STL,,Link2+-1,Origin_joint2,Axis_joint2,joint2,continuous,0,0.1135,0,-0.147141028970038,-0.0193420426660576,-0.260947600809252,link1,0.494065233560794,0,0.869424835731369,,,,,,,,,,,,
link3,-0.0555984520204526,0.083812327994318,-0.0300056929458682,0,0,0,0.123550147117461,0.000292726834456389,9.03817841551026E-05,1.39208791257299E-05,6.58903588336354E-05,-5.11793079281536E-05,0.000309496951873367,0,0,0,0,0,0,package://result/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://result/meshes/link3.STL,,Link3-1,Origin_joint3,Axis_joint3,joint3,continuous,-0.0477203669927141,0.176670275277301,0.0271178982873527,-0.0386852674008673,-0.00131813084580693,-0.0681115664931237,link2,0.494065233560793,0,0.86942483573137,,,,,,,,,,,,
link4,-0.0257543146488703,0.000210537416163059,-0.0454738972394829,0,0,0,0.0561630777028275,2.19129369662807E-05,7.15335897538316E-07,-5.6488552953816E-06,1.88296796365997E-05,-9.76864816332873E-07,1.49274322086349E-05,0,0,0,0,0,0,package://result/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://result/meshes/link4.STL,,Link4-1,Origin_joint4,Axis_joint4,joint4,continuous,-0.0837443610489894,0.157917837145281,-0.0198584203038859,0.102414235633141,-0.00929636668983064,0.180892140537939,link3,0.494065233560794,0,0.869424835731369,,,,,,,,,,,,
link5,-0.00719710816257703,0.0428691250130199,0.00389974160741668,0,0,0,0.0552758405811313,1.95139257361119E-05,1.91291338288181E-06,2.73079582654806E-06,1.07960412394953E-05,-1.15017835518592E-06,2.15630829578553E-05,0,0,0,0,0,0,package://result/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://result/meshes/link5.STL,,Link5-2,Origin_joint5,Axis_joint5,joint5,continuous,-0.0371048708422546,0.0141095760101574,-0.0603585152536814,2.98816184674534,0.116232333166355,-2.85220784153207,link4,0.14808491158029,-0.985387915917708,-0.0841517327546773,,,,,,,,,,,,
link6,-2.97799944426469E-10,0.0199841332231198,0.000152302017772277,0,0,0,0.0748366723555649,2.18907112370925E-05,-1.28304618123672E-13,-9.77806925445293E-16,3.05013137013207E-05,-1.3895426531211E-08,3.23244801334458E-05,0,0,0,0,0,0,package://result/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://result/meshes/link6.STL,,eelink-1,Origin_joint6,Axis_joint6,joint6,continuous,0.0059113052632233,0.0648551533018765,-0.00535833058428253,-1.72623523303252,0.962620033879879,-3.11402937808443,link5,0,0.999970960323896,0.00762092572494932,,,,,,,,,,,,
